ID_UC;Código UC;Informações Gerais;Nome da UC;Esfera Administrativa;Categoria de Manejo;Categoria IUCN;UF;Ano de Criação;Ano do ato legal mais recente;Ato Legal de Criação;Outros atos legais;Municípios Abrangidos;Plano de Manejo;Conselho Gestor;Órgão Gestor;Fonte da Área: (1 = SHP, 0 = Ato legal);Área soma biomas;Área soma Biomas Continental;Área Ato Legal de Criação;Bioma Área (ha);Amazônia;Caatinga;Cerrado;Mata Atlântica;Pampa;Pantanal;Área Marinha;Bioma declarado;% Além da linha de costa;Grupo;PI;US;Recortes (ha);Mar Territorial;Município Costeiro;Município Costeiro + Área Marinha;Programa/Projeto;Sítios do Patrimônio Mundial;Sítios Ramsar;Mosaico;Reserva da Biosfera;Qualidade dos dados georreferenciados;Código WDPA;Data da publicação no CNUC;Data da última certificação dos dados pelo Órgão Gestor
11;0000.00.0011;;ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA;Federal;Área de Proteção Ambiental;Category V;MG, RJ, SP;1985;1985;Decreto 91304 de 03/06/1985;Sem informação.;AIURUOCA (MG) - ALAGOA (MG) - BAEPENDI (MG) - BOCAINA DE MINAS (MG) - CAMPOS DO JORDÃO (SP) - CRUZEIRO (SP) - DELFIM MOREIRA (MG) - GUARATINGUETÁ (SP) - ITAMONTE (MG) - ITANHANDU (MG) - ITATIAIA (RJ) - LAVRINHAS (SP) - LIBERDADE (MG) - LORENA (SP) - MARMELÓPOLIS (MG) - PASSA QUATRO (MG) - PASSA VINTE (MG) - PINDAMONHANGABA (SP) - PIQUETE (SP) - PIRANGUÇU (MG) - POUSO ALTO (MG) - QUELUZ (SP) - RESENDE (RJ) - SANTO ANTÔNIO DO PINHAL (SP) - SÃO BENTO DO SAPUCAÍ (SP) - VIRGÍNIA (MG) - WENCESLAU BRAZ (MG);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;437.525;437.525;411.184;;0;0;0;437.525;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;0;0;;;;Mantiqueira;Mata Atlântica;Polígono corresponde ao memorial descritivo;555600306;11/10/2022 10:26:33;segunda-feira, 12 de abril de 2010
12;0000.00.0012;;ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA TABATINGA;Federal;Área de Proteção Ambiental;Category V;BA, MA, PI, TO;1990;2002;Decreto Nº 99.278 de 06/06/1990;Redução: Decreto S/N de 16/07/2002;ALTO PARNAÍBA (MA) - BARREIRAS DO PIAUÍ (PI) - FORMOSA DO RIO PRETO (BA) - MATEIROS (TO);Sim;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;41.779;41.779;61.000;;0;0;41.779;0;0;0;0;Cerrado;0,0%;Uso Sustentável;0;1;;0;0;0;;;;Jalapão;Cerrado;Polígono corresponde ao memorial descritivo;31758;11/10/2022 10:26:46;quinta-feira, 21 de novembro de 2024
13;0000.00.0013;;ÁREA DE PROTEÇÃO AMBIENTAL DE CAIRUÇU;Federal;Área de Proteção Ambiental;Category V;RJ;1983;1983;Decreto 89242 de 27/12/1983;Sem informação.;PARATY (RJ);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;32.611;31.934;32.688;;0;0;0;31.934;0;0;676;Mata Atlântica;2,1%;Uso Sustentável;0;1;;1;1;1;;Parati e Ilha Grande (Misto);;Bocaina;Mata Atlântica;Polígono corresponde ao memorial descritivo;19458;11/10/2022 10:27:04;sexta-feira, 23 de abril de 2010
14;0000.00.0014;;ÁREA DE PROTEÇÃO AMBIENTAL DE CANANÉIA-IGUAPÉ-PERUÍBE;Federal;Área de Proteção Ambiental;Category V;SP;1984;1995;Decreto 90347 de 23/10/1984;Ampliação: Decreto 91892 de 06/11/1995;CANANÉIA (SP) - IGUAPE (SP) - ILHA COMPRIDA (SP) - ITARIRI (SP) - MIRACATU (SP) - PERUÍBE (SP);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;202.310;201.857;196.955;;0;0;0;201.857;0;0;453;Mata Atlântica;0,2%;Uso Sustentável;0;1;;1;1;1;GEF Mar-Áreas Marinhas e Costeiras Protegidas;;APA Cananéia-Iguape-Peruíbe;Litoral de São Paulo;Cinturão Verde da Cidade de São Paulo,Mata Atlântica;Polígono corresponde ao memorial descritivo;19484;11/10/2022 10:27:19;sexta-feira, 26 de março de 2010
15;0000.00.0015;;ÁREA DE PROTEÇÃO AMBIENTAL DE FERNANDO DE NORONHA - ROCAS - SÃO PEDRO E SÃO PAULO;Federal;Área de Proteção Ambiental;Category V;PE;1986;1988;Decreto Nº 92.755 de 05/06/1986;Revisão dos limites: Decreto Nº 96.693 de 14/09/1988;FERNANDO DE NORONHA (PE);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;154.358;787;197.620;;0;0;0;787;0;0;153.571;Área Marinha;99,5%;Uso Sustentável;0;1;;1;1;1;GEF Mar-Áreas Marinhas e Costeiras Protegidas;;;;Mata Atlântica;Polígono corresponde ao memorial descritivo;116096;11/10/2022 10:27:34;quarta-feira, 29 de janeiro de 2025
16;0000.00.0016;;ÁREA DE PROTEÇÃO AMBIENTAL DE GUAPI-MIRIM;Federal;Área de Proteção Ambiental;Category V;RJ;1984;1984;Decreto 90225 de 25/09/1984;Sem informação.;GUAPIMIRIM (RJ) - ITABORAÍ (RJ) - MAGÉ (RJ) - SÃO GONÇALO (RJ);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;13.890;8.909;13.950;;0;0;0;8.909;0;0;4.981;Mata Atlântica;35,9%;Uso Sustentável;0;1;;1;1;1;;;;;Mata Atlântica;Polígono corresponde ao memorial descritivo;351840;11/10/2022 10:27:50;sexta-feira, 23 de abril de 2010
17;0000.00.0017;;ÁREA DE PROTEÇÃO AMBIENTAL DE GUARAQUEÇABA;Federal;Área de Proteção Ambiental;Category V;PR;1985;1997;Decreto 90883 de 31/01/1985;Redução: Lei ordinária 9.513 Art 3 de 20/11/1997;ANTONINA (PR) - CAMPINA GRANDE DO SUL (PR) - GUARAQUEÇABA (PR) - PARANAGUÁ (PR);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;245.641;245.641;282.444;;0;0;0;245.641;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;1;1;;;;Litoral de São Paulo;Mata Atlântica;Polígono corresponde ao memorial descritivo;7906;26/08/2010 11:16:12;segunda-feira, 19 de junho de 2023
18;0000.00.0018;;ÁREA DE PROTEÇÃO AMBIENTAL DE PIAÇABUÇU;Federal;Área de Proteção Ambiental;Category V;AL;1983;1984;Decreto Nº 88.421 de 21/06/1983;Sem informação.;FELIZ DESERTO (AL) - PIAÇABUÇU (AL);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;9.107;9.042;9.143;;0;0;0;9.042;0;0;65;Mata Atlântica;0,7%;Uso Sustentável;0;1;;1;1;1;;;;;Mata Atlântica;Polígono corresponde ao memorial descritivo;18727;11/10/2022 10:28:02;segunda-feira, 2 de dezembro de 2024
19;0000.00.0019;;ÁREA DE PROTEÇÃO AMBIENTAL DELTA DO PARNAIBA;Federal;Área de Proteção Ambiental;Category V;CE, MA, PI;1996;1996;Decreto S/N de 28/08/1996;Sem informação.;ÁGUA DOCE DO MARANHÃO (MA) - ARAIOSES (MA) - BARROQUINHA (CE) - CAJUEIRO DA PRAIA (PI) - CHAVAL (CE) - ILHA GRANDE (PI) - LUÍS CORREIA (PI) - PARNAÍBA (PI) - PAULINO NEVES (MA) - TUTÓIA (MA);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;309.590;222.906;313.800;;0;85.621;137.285;0;0;0;86.684;Cerrado;28,0%;Uso Sustentável;0;1;;1;1;1;GEF Mar-Áreas Marinhas e Costeiras Protegidas;;Estuário do Amazonas e seus Manguezais (Regional);;Caatinga,Mata Atlântica;Polígono corresponde ao memorial descritivo;115666;11/10/2022 10:28:20;segunda-feira, 2 de dezembro de 2024
20;0000.00.0020;;ÁREA DE PROTEÇÃO AMBIENTAL CARSTE DE LAGOA SANTA;Federal;Área de Proteção Ambiental;Category V;MG;1990;1996;Decreto 98881 de 25/01/1990;Revisão dos limites: Decreto 1876 de 25/04/1996;CONFINS (MG) - FUNILÂNDIA (MG) - LAGOA SANTA (MG) - MATOZINHOS (MG) - PEDRO LEOPOLDO (MG);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;37.736;37.736;35.600;;0;0;37.736;0;0;0;0;Cerrado;0,0%;Uso Sustentável;0;1;;0;0;0;;;Lund Warming;;Mata Atlântica,Serra do Espinhaço;Polígono corresponde ao memorial descritivo;31756;21/11/2022 13:00:00;quinta-feira, 22 de junho de 2023
21;0000.00.0021;;ÁREA DE PROTEÇÃO AMBIENTAL IBIRAPUITÃ;Federal;Área de Proteção Ambiental;Category V;RS;1992;1992;Decreto 529 de 20/05/1992;Sem informação.;ALEGRETE (RS) - QUARAÍ (RS) - ROSÁRIO DO SUL (RS) - SANT'ANA DO LIVRAMENTO (RS);Não;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;316.662;316.662;318.000;;0;0;0;0;316.662;0;0;Pampa;0,0%;Uso Sustentável;0;1;;0;0;0;GEF Terrestre-Estratégias de conservação, restauração e manejo para a biodiversidade da Caatinga, Pampa e Pantanal;;;;;Polígono corresponde ao memorial descritivo;555600305;21/11/2022 13:00:00;quinta-feira, 24 de abril de 2008
22;0000.00.0022;;ÁREA DE PROTEÇÃO AMBIENTAL DO IGARAPÉ GELADO;Federal;Área de Proteção Ambiental;Category V;PA;1989;1989;Decreto Nº 97.718 de 05/05/1989;Sem informação.;PARAUAPEBAS (PA);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;23.135;23.135;21.600;;23.135;0;0;0;0;0;0;Amazônia;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;;Polígono corresponde ao memorial descritivo;19755;11/10/2022 10:28:35;sexta-feira, 3 de janeiro de 2025
23;0000.00.0023;;ÁREA DE PROTEÇÃO AMBIENTAL DO PLANALTO CENTRAL;Federal;Área de Proteção Ambiental;Category V;DF, GO;2002;2009;Decreto S/N de 10/01/2002;Reavaliação: Portaria S/N de 29/04/2009;BRASÍLIA (DF) - PADRE BERNARDO (GO) - PLANALTINA (GO);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;503.419;503.419;504.160;;0;0;503.419;0;0;0;0;Cerrado;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;Cerrado;Polígono corresponde ao memorial descritivo;351841;11/10/2022 10:28:50;terça-feira, 21 de janeiro de 2025
24;0000.00.0024;;ÁREA DE PROTEÇÃO AMBIENTAL DOS MEANDROS DO RIO ARAGUAIA;Federal;Área de Proteção Ambiental;Category V;GO, MT, TO;1998;1998;Decreto S/N de 02/10/1998;Sem informação.;COCALINHO (MT) - FORMOSO DO ARAGUAIA (TO) - NOVA CRIXÁS (GO) - SANDOLÂNDIA (TO) - SÃO MIGUEL DO ARAGUAIA (GO);Não;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;359.192;359.192;357.126;;0;0;359.192;0;0;0;0;Cerrado;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;;Polígono corresponde ao memorial descritivo;351746;11/10/2022 10:29:07;segunda-feira, 7 de agosto de 2023
25;0000.00.0025;;ÁREA DE PROTEÇÃO AMBIENTAL ILHAS E VÁRZEAS DO RIO PARANÁ;Federal;Área de Proteção Ambiental;Category V;MS, PR, SP;1997;1997;Decreto S/N de 30/09/1997;Sem informação.;ALTÔNIA (PR) - ALTO PARAÍSO (PR) - BATAYPORÃ (MS) - DIAMANTE DO NORTE (PR) - ELDORADO (MS) - GUAÍRA (PR) - ICARAÍMA (PR) - IGUATEMI (MS) - ITAQUIRAÍ (MS) - IVATÉ (PR) - IVINHEMA (MS) - JAPORÃ (MS) - JATEÍ (MS) - MARILENA (PR) - MUNDO NOVO (MS) - NAVIRAÍ (MS) - NOVA ANDRADINA (MS) - NOVA LONDRINA (PR) - NOVO HORIZONTE DO SUL (MS) - PORTO RICO (PR) - QUERÊNCIA DO NORTE (PR) - ROSANA (SP) - SANTA CRUZ DE MONTE CASTELO (PR) - SÃO JORGE DO PATROCÍNIO (PR) - SÃO PEDRO DO PARANÁ (PR) - TAQUARUSSU (MS) - TERRA ROXA (PR);Não;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;1.005.190;1.005.190;1.003.059;;0;0;34;1.005.157;0;0;0;Mata Atlântica;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;Mata Atlântica;Polígono corresponde ao memorial descritivo;198367;11/10/2022 10:29:34;sexta-feira, 23 de abril de 2010
27;0000.00.0027;;ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA;Federal;Área de Proteção Ambiental;Category V;MG;1990;1990;Decreto 98891 de 26/01/1990;Sem informação.;CONCEIÇÃO DO MATO DENTRO (MG) - ITABIRA (MG) - ITAMBÉ DO MATO DENTRO (MG) - JABOTICATUBAS (MG) - MORRO DO PILAR (MG) - NOVA UNIÃO (MG) - SANTANA DO RIACHO (MG) - TAQUARAÇU DE MINAS (MG);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;131.771;131.771;100.431;;0;0;124.957;6.814;0;0;0;Cerrado;0,0%;Uso Sustentável;0;1;;0;0;0;;;;Serra do Cipó;Mata Atlântica,Serra do Espinhaço;Polígono corresponde ao memorial descritivo;351787;11/10/2022 10:29:49;sexta-feira, 23 de abril de 2010
28;0000.00.0028;;ÁREA DE PROTEÇÃO AMBIENTAL DAS NASCENTES DO RIO VERMELHO;Federal;Área de Proteção Ambiental;Category V;BA, GO;2001;2001;Decreto S/N de 27/09/2001;Sem informação.;BURITINÓPOLIS (GO) - DAMIANÓPOLIS (GO) - JABORANDI (BA) - MAMBAÍ (GO) - POSSE (GO);Não;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;173.968;173.968;176.159;;0;0;173.968;0;0;0;0;Cerrado;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;Cerrado;Polígono corresponde ao memorial descritivo;351742;11/10/2022 10:30:08;terça-feira, 21 de janeiro de 2025
29;0000.00.0029;;ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA IBIAPABA;Federal;Área de Proteção Ambiental;Category V;CE, PI;1996;1996;Decreto s/n de 26/11/1996;Sem informação.;BOM PRINCÍPIO DO PIAUÍ (PI) - BRASILEIRA (PI) - BURITI DOS LOPES (PI) - CHAVAL (CE) - COCAL (PI) - CONCEIÇÃO DO CANINDÉ (PI) - DOMINGOS MOURÃO (PI) - GRANJA (CE) - LAGOA DE SÃO FRANCISCO (PI) - MORAÚJO (CE) - PEDRO II (PI) - PIRACURUCA (PI) - PIRIPIRI (PI) - TIANGUÁ (CE) - VIÇOSA DO CEARÁ (CE);Não;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;1.628.741;1.628.741;1.592.550;;0;985.735;643.006;0;0;0;0;Caatinga;0,0%;Uso Sustentável;0;1;;0;1;1;GEF Terrestre-Estratégias de conservação, restauração e manejo para a biodiversidade da Caatinga, Pampa e Pantanal;;;;Caatinga,Mata Atlântica;Polígono corresponde ao memorial descritivo;198355;11/10/2022 10:30:28;quinta-feira, 28 de setembro de 2023
30;0000.00.0030;;ÁREA DE RELEVANTE INTERESSE ECOLÓGICO BURITI DE VASSUNUNGA;Federal;Área de Relevante Interesse Ecológico;Category IV;SP;1990;1990;Decreto 99276 de 06/06/1990;Sem informação.;SANTA RITA DO PASSA QUATRO (SP);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;151;151;149;;0;0;151;0;0;0;0;Cerrado;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;Mata Atlântica;Polígono corresponde ao memorial descritivo;115987;11/10/2022 10:30:43;segunda-feira, 17 de abril de 2023
31;0000.00.0031;;ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CAPETINGA - TAQUARA;Federal;Área de Relevante Interesse Ecológico;Category IV;DF;1985;1985;Decreto 91.303 de 03/06/1985;Sem informação.;BRASÍLIA (DF);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;2.057;2.057;2.100;;0;0;2.057;0;0;0;0;Cerrado;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;Cerrado;Polígono é uma estimativa dos limites da UC;10086;11/10/2022 10:30:57;quinta-feira, 17 de agosto de 2023
32;0000.00.0032;;ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE;Federal;Área de Relevante Interesse Ecológico;Category IV;SP;1990;1990;Decreto 99275 de 06/06/1990;Sem informação.;SANTA RITA DO PASSA QUATRO (SP);Não;Não;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;1.199;1.199;1.060;;0;0;1.199;0;0;0;0;Cerrado;0,0%;Uso Sustentável;0;1;;0;0;0;;;;;Mata Atlântica;Polígono corresponde ao memorial descritivo;351729;11/10/2022 10:31:10;terça-feira, 11 de abril de 2023
34;0000.00.0034;;MONUMENTO NATURAL DAS ILHAS CAGARRAS;Federal;Monumento Natural;Category III;RJ;1989;2010;Resolução 11 de 14/09/1989;Recategorização: Decreto S/N.º de 13/04/2010;NITERÓI (RJ);Sim;Sim;INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;1;91;63;0;;0;0;0;63;0;0;28;Mata Atlântica;30,7%;Proteção Integral;1;0;;1;1;1;;;;Carioca;Mata Atlântica;Polígono é uma estimativa dos limites da UC;555576252;25/08/2010 10:48:20;segunda-feira, 23 de agosto de 2010
